land_parcel_id,mrt_station,distance_m
fb454967b25d7467d05f95a8978b2648164866118c2754bfbc66cbf3c8f3fe79,nicoll highway mrt station,3390.71
fb454967b25d7467d05f95a8978b2648164866118c2754bfbc66cbf3c8f3fe79,newton mrt station,4089.51
fb454967b25d7467d05f95a8978b2648164866118c2754bfbc66cbf3c8f3fe79,napier mrt station,4440.63
fb454967b25d7467d05f95a8978b2648164866118c2754bfbc66cbf3c8f3fe79,maxwell mrt station,514.69
fb454967b25d7467d05f95a8978b2648164866118c2754bfbc66cbf3c8f3fe79,marina south pier mrt station,2070.89
fb454967b25d7467d05f95a8978b2648164866118c2754bfbc66cbf3c8f3fe79,marina south mrt station,2129.76
fb454967b25d7467d05f95a8978b2648164866118c2754bfbc66cbf3c8f3fe79,marina bay mrt station,1126.44
fb454967b25d7467d05f95a8978b2648164866118c2754bfbc66cbf3c8f3fe79,little india mrt station,3462.73
fb454967b25d7467d05f95a8978b2648164866118c2754bfbc66cbf3c8f3fe79,lavender mrt station,4029.94
fb454967b25d7467d05f95a8978b2648164866118c2754bfbc66cbf3c8f3fe79,labrador park mrt station,4675.61
fb454967b25d7467d05f95a8978b2648164866118c2754bfbc66cbf3c8f3fe79,keppel mrt station,1746.3
fb454967b25d7467d05f95a8978b2648164866118c2754bfbc66cbf3c8f3fe79,kallang mrt station,4943.01
fb454967b25d7467d05f95a8978b2648164866118c2754bfbc66cbf3c8f3fe79,jalan besar mrt station,3451.15
fb454967b25d7467d05f95a8978b2648164866118c2754bfbc66cbf3c8f3fe79,havelock mrt station,1846.25
fb454967b25d7467d05f95a8978b2648164866118c2754bfbc66cbf3c8f3fe79,harbourfront mrt station,2807.53
fb454967b25d7467d05f95a8978b2648164866118c2754bfbc66cbf3c8f3fe79,great world mrt station,2325.93
fb454967b25d7467d05f95a8978b2648164866118c2754bfbc66cbf3c8f3fe79,gardens by the bay mrt station,2572.01
fb454967b25d7467d05f95a8978b2648164866118c2754bfbc66cbf3c8f3fe79,fort canning mrt station,1831.54
fb454967b25d7467d05f95a8978b2648164866118c2754bfbc66cbf3c8f3fe79,farrer park mrt station,4103.21
fb454967b25d7467d05f95a8978b2648164866118c2754bfbc66cbf3c8f3fe79,esplanade mrt station,2288.71
fb454967b25d7467d05f95a8978b2648164866118c2754bfbc66cbf3c8f3fe79,downtown mrt station,1008.35
fb454967b25d7467d05f95a8978b2648164866118c2754bfbc66cbf3c8f3fe79,dhoby ghaut mrt station,2525.76
fb454967b25d7467d05f95a8978b2648164866118c2754bfbc66cbf3c8f3fe79,clarke quay mrt station,1397.74
fb454967b25d7467d05f95a8978b2648164866118c2754bfbc66cbf3c8f3fe79,city hall mrt station,2086.59
fb454967b25d7467d05f95a8978b2648164866118c2754bfbc66cbf3c8f3fe79,chinatown mrt station,921.32
fb454967b25d7467d05f95a8978b2648164866118c2754bfbc66cbf3c8f3fe79,cantonment mrt station,892.17
fb454967b25d7467d05f95a8978b2648164866118c2754bfbc66cbf3c8f3fe79,bugis mrt station,2944.69
fb454967b25d7467d05f95a8978b2648164866118c2754bfbc66cbf3c8f3fe79,bras basah mrt station,2415.85
fb454967b25d7467d05f95a8978b2648164866118c2754bfbc66cbf3c8f3fe79,bendemeer mrt station,4654.39
fb454967b25d7467d05f95a8978b2648164866118c2754bfbc66cbf3c8f3fe79,bencoolen mrt station,2625.76
fb454967b25d7467d05f95a8978b2648164866118c2754bfbc66cbf3c8f3fe79,bayfront mrt station,1752.64
faf52a52bd132b7db1e8957c093df7f7928a82d7e531b9e944e660d0f3406cb6,tampines west mrt station,3969.06
faf52a52bd132b7db1e8957c093df7f7928a82d7e531b9e944e660d0f3406cb6,tampines mrt station,3423.73
faf52a52bd132b7db1e8957c093df7f7928a82d7e531b9e944e660d0f3406cb6,tampines east mrt station,4377.9
faf52a52bd132b7db1e8957c093df7f7928a82d7e531b9e944e660d0f3406cb6,sengkang mrt station,3287.23
